std,type,big,middle,job,sex,age,money,count,mean_money
14-Sep,내국인 관광객,제주시,노형동,기념품 점,남,50대,893000,12,74417
14-Sep,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,40대,2227100,30,74237
14-Sep,내국인 관광객,제주시,삼도2동,악세 사리,여,40대,1324600,18,73589
14-Sep,내국인 관광객,제주시,연동,악세 사리,남,40대,734000,10,73400
14-Sep,내국인 관광객,서귀포시,대륜동,농축수산품,여,30대,4324500,59,73297
14-Sep,내국인 관광객,제주시,이도2동,정장(여성),남,20대,1366000,19,71895
14-Sep,내국인 관광객,제주시,삼도2동,정장(여성),남,50대,917600,13,70585
14-Sep,내국인 관광객,서귀포시,성산읍,농축수산품,남,40대,9695200,138,70255
14-Sep,내국인 관광객,서귀포시,성산읍,농축수산품,남,50대,6585000,94,70053
14-Sep,내국인 관광객,서귀포시,남원읍,농축수산품,여,40대,5719200,82,69746
14-Sep,내국인 관광객,서귀포시,예래동,농축수산품,남,40대,4349450,63,69039
14-Sep,내국인 관광객,제주시,이도2동,안경,여,30대,1235000,18,68611
14-Sep,내국인 관광객,제주시,연동,정장(여성),여,30대,6137500,90,68194
14-Sep,내국인 관광객,제주시,연동,악세 사리,여,20대,1224800,18,68044
14-Sep,내국인 관광객,제주시,용담2동,농축수산품,여,50대,28970620,428,67688
14-Sep,내국인 관광객,제주시,삼도2동,정장(여성),여,30대,3313800,49,67629
14-Sep,내국인 관광객,서귀포시,예래동,농축수산품,여,30대,5747300,87,66061
14-Sep,내국인 관광객,서귀포시,대륜동,농축수산품,남,20대,726500,11,66045
14-Sep,내국인 관광객,제주시,삼도2동,정장(여성),남,30대,2044100,31,65939
14-Sep,내국인 관광객,서귀포시,남원읍,농축수산품,남,40대,6393903,99,64585
14-Sep,내국인 관광객,서귀포시,성산읍,농축수산품,여,40대,6581500,102,64525
14-Sep,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,30대,2997900,47,63785
14-Sep,내국인 관광객,제주시,연동,의원,여,30대,6241880,98,63693
14-Sep,내국인 관광객,제주시,노형동,정장(여성),남,40대,633400,10,63340
14-Sep,내국인 관광객,제주시,연동,농축수산품,여,50대,2215240,35,63293
14-Sep,내국인 관광객,서귀포시,대륜동,농축수산품,여,20대,1825000,29,62931
14-Sep,내국인 관광객,서귀포시,예래동,농축수산품,여,50대,940400,15,62693
14-Sep,내국인 관광객,제주시,애월읍,농축수산품,여,50대,3193800,51,62624
14-Sep,내국인 관광객,제주시,삼도2동,정장(여성),여,40대,1801000,29,62103
14-Sep,내국인 관광객,제주시,노형동,기타음료식품,여,50대,2044650,33,61959
14-Sep,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,40대,2408500,39,61756
14-Sep,내국인 관광객,제주시,연동,정장(여성),남,20대,2074300,34,61009
14-Sep,내국인 관광객,제주시,이도2동,정장(여성),남,30대,789600,13,60738
14-Sep,내국인 관광객,제주시,삼도2동,정장(여성),남,20대,1031900,17,60700
14-Sep,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,30대,3149900,52,60575
14-Sep,내국인 관광객,제주시,용담2동,농축수산품,남,40대,23352640,387,60343
14-Sep,내국인 관광객,제주시,삼도2동,농축수산품,여,40대,1206000,20,60300
14-Sep,내국인 관광객,서귀포시,성산읍,농축수산품,남,30대,13072600,217,60242
14-Sep,내국인 관광객,서귀포시,성산읍,농축수산품,여,50대,4315500,73,59116
14-Sep,내국인 관광객,제주시,이도2동,농축수산품,남,40대,10446260,178,58687
14-Sep,내국인 관광객,제주시,삼도2동,정장(여성),남,40대,988400,17,58141
14-Sep,내국인 관광객,제주시,애월읍,스포츠레져용품,남,30대,869200,15,57947
14-Sep,내국인 관광객,제주시,삼도2동,정장(여성),여,20대,2755000,49,56224
14-Sep,내국인 관광객,제주시,용담2동,농축수산품,여,40대,18385930,328,56055
14-Sep,내국인 관광객,제주시,노형동,기념품 점,여,50대,672000,12,56000
14-Sep,내국인 관광객,제주시,삼도2동,농축수산품,여,30대,1286500,23,55935
14-Sep,내국인 관광객,제주시,연동,농축수산품,여,30대,2289000,41,55829
14-Sep,내국인 관광객,제주시,연동,악세 사리,여,30대,1604400,29,55324
14-Sep,내국인 관광객,제주시,용담2동,농축수산품,남,30대,19395180,353,54944
14-Sep,내국인 관광객,제주시,노형동,농축수산품,남,30대,1977400,36,54928
14-Sep,내국인 관광객,서귀포시,남원읍,농축수산품,여,30대,5859700,107,54764
14-Sep,내국인 관광객,제주시,연동,정장(여성),여,20대,4018800,74,54308
14-Sep,내국인 관광객,제주시,용담2동,스포츠레져용품,남,30대,644700,12,53725
14-Sep,내국인 관광객,제주시,노형동,농축수산품,여,30대,1394400,26,53631
14-Sep,내국인 관광객,제주시,삼도2동,안경,남,30대,535000,10,53500
14-Sep,내국인 관광객,제주시,이도2동,농축수산품,남,30대,6097330,114,53485
