date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2018-03-09,54,37,0.044,0.015,0.4,0.003,5.6,7.8,4.2,0
2018-03-10,33,20,0.039,0.013,0.3,0.003,8.1,11.5,4.3,0
2018-03-11,67,48,0.046,0.019,0.4,0.004,8.7,12.1,5.1,0
2018-03-12,76,48,0.037,0.032,0.4,0.005,11.2,15.3,7,0
2018-03-13,31,17,0.03,0.028,0.3,0.004,14.7,19.2,9.6,0
2018-03-14,37,17,0.025,0.029,0.3,0.006,16.9,20.3,12.5,0
2018-03-15,20,13,0.029,0.015,0.2,0.003,17.1,21.7,12,16
2018-03-16,37,20,0.039,0.01,0.3,0.002,9.5,12.1,8.8,1.9
2018-03-17,25,13,0.043,0.006,0.1,0.002,10,13.8,7.3,0
2018-03-18,25,13,0.032,0.017,0.2,0.003,15.2,22.3,7.8,3.1
2018-03-19,21,15,0.03,0.016,0.3,0.002,12.6,16.2,10.1,8.7
2018-03-20,32,14,0.044,0.005,0.1,0.002,8.3,10.2,6.5,14.1
2018-03-21,10,4,0.037,0.01,0.1,0.002,5.4,6.6,4.2,21.2
2018-03-22,20,12,0.037,0.012,0.2,0.002,7.3,10.4,5.3,0
2018-03-23,34,24,0.039,0.017,0.2,0.003,8.6,11.9,4.6,0
2018-03-24,103,73,0.054,0.023,0.5,0.004,12.2,16.5,7.7,0
2018-03-25,90,58,0.052,0.02,0.4,0.003,13.2,16.9,9.6,0
2018-03-26,81,56,0.048,0.024,0.4,0.003,13.7,17,9.7,0
2018-03-27,65,38,0.044,0.023,0.4,0.003,14.8,19.1,10.3,0
2018-03-28,55,35,0.039,0.021,0.3,0.004,15.1,19.1,9.5,0
2018-03-29,38,27,0.029,0.021,0.3,0.004,15.6,19.3,12,0
2018-03-30,50,25,0.043,0.007,0.2,0.003,15.5,18.9,13.5,0
2018-03-31,61,26,0.043,0.015,0.3,0.004,17,21,13.3,0
2018-04-01,103,39,0.047,0.011,0.3,0.004,18,21.3,15.2,0
2018-04-02,41,21,0.031,0.016,0.3,0.005,18,21.3,15.3,0
