date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2017-03-17,52,32,0.051,0.017,0.3,0.002,9.4,13.2,5,0
2017-03-18,50,28,0.042,0.022,0.3,0.002,10.7,14.6,7.1,0
2017-03-19,66,41,0.063,0.016,0.4,0.003,12.7,15.7,7.4,0
2017-03-20,55,34,0.068,0.01,0.4,0.002,11.8,13.8,9.9,23
2017-03-21,60,30,0.056,0.008,0.3,0.002,9.3,11.4,7.4,0.9
2017-03-22,60,28,0.047,0.015,0.3,0.003,9.2,12,5.3,0
2017-03-23,48,27,0.042,0.017,0.3,0.002,10,13.5,8,6.4
2017-03-24,59,33,0.046,0.015,0.4,0.003,11.3,14.7,7.4,0
2017-03-25,29,20,0.046,0.012,0.4,0.002,9.9,11.5,8.3,2.9
2017-03-26,49,32,0.049,0.01,0.4,0.002,8.7,11.3,6.8,0
2017-03-27,78,51,0.06,0.01,0.6,0.003,10.2,12.7,8.2,0
2017-03-28,53,31,0.056,0.013,0.4,0.003,11.7,14.8,6.9,0.3
2017-03-29,61,32,0.058,0.012,0.4,0.003,14.4,17.9,11,0
2017-03-30,63,44,0.062,0.01,0.4,0.004,12.8,15,11.1,0
2017-03-31,44,32,0.057,0.01,0.4,0.003,10.7,12.9,9.4,13.4
2017-04-01,85,50,0.062,0.009,0.4,0.003,10.6,13.4,9.1,0
2017-04-02,56,32,0.066,0.009,0.4,0.003,12,16.1,8.8,0
2017-04-03,53,29,0.061,0.014,0.4,0.002,13.6,17.8,8.5,0
2017-04-04,66,41,0.058,0.021,0.5,0.004,14.5,18.2,10.5,0
2017-04-05,28,12,0.052,0.01,0.4,0.002,18.6,23.1,14.7,0.4
2017-04-06,17,7,0.034,0.013,0.4,0.003,16.6,20.2,14.1,17.4
2017-04-07,45,31,0.048,0.011,0.5,0.004,14.8,18.8,11.4,0
2017-04-08,50,30,0.049,0.01,0.5,0.004,14.4,18.4,11.3,0
2017-04-09,56,34,0.056,0.007,0.5,0.003,13.6,15.8,10.8,0
2017-04-10,40,15,0.053,0.005,0.4,0.003,13.4,14.6,12.3,3.9
2017-04-11,53,30,0.061,0.012,0.4,0.004,12.3,15.9,10.6,9.1
2017-04-12,98,20,0.047,0.012,0.3,0.003,13.5,17.2,11.4,0
2017-04-13,82,26,0.062,0.017,0.4,0.004,16,20.2,11.7,0
2017-04-14,55,16,0.053,0.012,0.3,0.003,18.3,24.1,11.6,0
2017-04-15,44,17,0.045,0.013,0.4,0.004,18.9,22.1,15.5,0
2017-04-16,37,20,0.033,0.015,0.5,0.003,16.6,21.8,14,0
2017-04-17,41,28,0.029,0.017,0.5,0.004,16.7,22,12.2,14.4
2017-04-18,106,40,0.058,0.013,0.5,0.005,16.2,25,12.3,0
2017-04-19,178,19,0.044,0.013,0.3,0.003,14.9,18,12.1,0
2017-04-20,82,16,0.041,0.019,0.4,0.004,15,18.2,13.3,0
2017-04-21,59,25,0.054,0.018,0.3,0.004,14.3,17.3,12.3,0
2017-04-22,85,26,0.057,0.015,0.2,0.003,13.9,17.4,11,0
2017-04-23,66,25,0.051,0.017,0.1,0.003,14.4,17.6,10.2,0
2017-04-24,54,19,0.056,0.019,0.1,0.002,17.2,22,12,0
2017-04-25,54,21,0.048,0.019,0.2,0.002,18.3,21.3,15.7,0
2017-04-26,44,21,0.044,0.016,0.1,0.002,15.6,18.4,13.6,6.2
2017-04-27,46,13,0.054,0.01,0.1,0.002,14.5,17.8,12.2,0
2017-04-28,76,25,0.077,0.01,0.3,0.004,18.4,21.8,14.1,0
2017-04-29,97,41,0.082,0.016,0.4,0.004,19.6,24.1,15.5,0
2017-04-30,80,31,0.108,0.006,0.3,0.003,24.5,27.6,20.2,0
2017-05-01,60,32,0.077,0.011,0.4,0.003,18.2,23.1,15.1,0
2017-05-02,63,24,0.065,0.007,0.3,0.001,18.1,21.5,16.5,0
2017-05-03,53,22,0.062,0.007,0.3,0.003,19.7,25.3,15.5,0
2017-05-04,39,20,0.057,0.009,0.3,0.003,20.8,26.9,16.7,5.8
2017-05-05,23,12,0.042,0.011,0.4,0.002,20.5,25.1,17.1,0.3
