date,pm10,pm25,ozone,no2,co,so2,avg,max,min,rain
2018-03-18,25,13,0.032,0.017,0.2,0.003,15.2,22.3,7.8,3.1
2018-03-19,21,15,0.03,0.016,0.3,0.002,12.6,16.2,10.1,8.7
2018-03-20,32,14,0.044,0.005,0.1,0.002,8.3,10.2,6.5,14.1
2018-03-21,10,4,0.037,0.01,0.1,0.002,5.4,6.6,4.2,21.2
2018-03-22,20,12,0.037,0.012,0.2,0.002,7.3,10.4,5.3,0
2018-03-23,34,24,0.039,0.017,0.2,0.003,8.6,11.9,4.6,0
2018-03-24,103,73,0.054,0.023,0.5,0.004,12.2,16.5,7.7,0
2018-03-25,90,58,0.052,0.02,0.4,0.003,13.2,16.9,9.6,0
2018-03-26,81,56,0.048,0.024,0.4,0.003,13.7,17,9.7,0
2018-03-27,65,38,0.044,0.023,0.4,0.003,14.8,19.1,10.3,0
2018-03-28,55,35,0.039,0.021,0.3,0.004,15.1,19.1,9.5,0
2018-03-29,38,27,0.029,0.021,0.3,0.004,15.6,19.3,12,0
2018-03-30,50,25,0.043,0.007,0.2,0.003,15.5,18.9,13.5,0
2018-03-31,61,26,0.043,0.015,0.3,0.004,17,21,13.3,0
2018-04-01,103,39,0.047,0.011,0.3,0.004,18,21.3,15.2,0
2018-04-02,41,21,0.031,0.016,0.3,0.005,18,21.3,15.3,0
2018-04-03,38,21,0.026,0.017,0.3,0.005,17.7,21.5,15.3,0
2018-04-04,31,17,0.024,0.013,0.2,0.004,17.6,20.6,15.8,0.2
2018-04-05,13,9,0.034,0.007,0.3,0.002,17.9,21.3,14.4,0
2018-04-06,79,26,0.042,0.005,0.3,0.002,11,18.2,8.1,20
2018-04-07,57,28,0.048,0.004,0.3,0.002,7.8,9.8,5.3,0
2018-04-08,56,20,0.056,0.004,0.3,0.003,12.5,16.4,7,0
2018-04-09,69,31,0.048,0.017,0.4,0.005,14.3,16.3,12.6,0
2018-04-10,44,17,0.037,0.013,0.3,0.003,18.8,22.3,12.5,0
2018-04-11,65,32,0.013,0.016,0.4,0.004,17.2,21.2,13.6,0
2018-04-12,33,14,0.007,0.016,0.3,0.003,17,23.5,13.1,0
2018-04-13,45,14,0.054,0.005,0.3,0.002,16.4,19.5,14.3,0
2018-04-14,17,12,0.044,0.006,0.3,0.002,15.2,22.9,10.2,3.7
2018-04-15,145,28,0.048,0.004,0.3,0.003,11.9,15.7,9.6,0
2018-04-16,54,26,0.047,0.008,0.4,0.003,12.2,14.6,8.5,0
2018-04-17,127,37,0.042,0.01,0.3,0.004,14.5,16.6,12.3,0
2018-04-18,70,27,0.046,0.01,0.3,0.003,13.6,17.3,10.7,0
2018-04-19,45,21,0.045,0.018,0.3,0.003,15.2,20.3,9.2,0
2018-04-20,57,26,0.046,0.02,0.3,0.004,16.6,20.3,12.1,0
2018-04-21,48,27,0.039,0.019,0.3,0.005,17.4,19.5,13.2,0
2018-04-22,21,14,0.026,0.016,0.3,0.003,20.4,25.2,17.3,5.2
2018-04-23,18,15,0.02,0.019,0.3,0.003,18.5,21.8,16.1,41.8
2018-04-24,11,10,0.031,0.007,0.3,0.002,14.7,16.4,13.6,38.7
2018-04-25,22,14,0.007,0.013,0.3,0.003,14.6,17.8,12.6,1.7
2018-04-26,24,16,0.007,0.014,0.3,0.003,15.5,19.4,12.1,0
2018-04-27,40,25,0.022,0.016,0.3,0.003,16.6,21.2,13.5,0
2018-04-28,78,54,0.048,0.021,0.5,0.004,16.4,19.3,13.1,0
2018-04-29,96,69,0.062,0.017,0.5,0.004,17.3,19.3,14.4,0
2018-04-30,36,27,0.05,0.019,0.4,0.003,20.7,26.1,17.4,1.2
2018-05-01,29,22,0.041,0.016,0.4,0.003,20.7,26,16.5,0
2018-05-02,33,23,0.037,0.013,0.3,0.003,17.6,24.5,13.4,0.3
2018-05-03,48,20,0.054,0.01,0.3,0.003,15.2,19,12.7,0
2018-05-04,39,18,0.05,0.013,0.2,0.003,16.2,20.3,12.3,0
2018-05-05,39,20,0.053,0.016,0.3,0.003,19.6,22.7,13.7,0
2018-05-06,19,13,0.043,0.011,0.3,0.002,20.3,23.6,17.2,21.4
2018-05-07,18,13,0.038,0.01,0.3,0.002,16.8,18.1,15.5,17.2
2018-05-08,30,16,0.052,0.006,0.2,0.002,16,18.3,14.2,0
2018-05-09,36,17,0.05,0.007,0.2,0.002,15.7,18.1,13.8,0
2018-05-10,39,23,0.045,0.013,0.2,0.003,15.9,18.3,13.9,0
2018-05-11,37,23,0.044,0.017,0.3,0.004,17.9,22.8,12,0
2018-05-12,29,15,0.036,0.014,0.2,0.004,22.2,24.4,18.4,1.3
2018-05-13,23,17,0.032,0.015,0.3,0.003,17.1,21.7,14.9,41.8
2018-05-14,64,39,0.044,0.026,0.4,0.005,19,23.2,14.9,0
2018-05-15,64,31,0.041,0.023,0.4,0.004,21.8,26.3,17.9,0
2018-05-16,24,13,0.019,0.012,0.2,0.003,24.8,31.1,21.3,0
2018-05-17,18,11,0.023,0.01,0.2,0.003,25.7,30.1,22.1,0
